,,bez_poruchy,chýbajúci_zub,koreňová_trhlina,odštiepený_zub,povrchová_chyba,výstrednosť
speedSet,std,12.93441346411044,12.93441346411044,12.93441346411044,12.93441346411044,12.93441346411044,12.93441346411044
load_value,count,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
load_value,mean,40.0,40.0,40.0,40.0,40.0,40.0
load_value,min,0.0,0.0,0.0,0.0,0.0,0.0
load_value,25%,0.0,0.0,0.0,0.0,0.0,0.0
load_value,50%,40.0,40.0,40.0,40.0,40.0,40.0
load_value,75%,80.0,80.0,80.0,80.0,80.0,80.0
load_value,max,80.0,80.0,80.0,80.0,80.0,80.0
load_value,std,40.000133334000004,40.000133334000004,40.000133334000004,40.000133334000004,40.000133334000004,40.000133334000004
time_normalized,count,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
time_normalized,mean,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002
time_normalized,min,0.0,0.0,0.0,0.0,0.0,0.0
time_normalized,25%,1.2499500000000001,1.2499500000000001,1.2499500000000001,1.2499500000000001,1.2499500000000001,1.2499500000000001
time_normalized,50%,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002
time_normalized,75%,3.74985,3.74985,3.74985,3.74985,3.74985,3.74985
time_normalized,max,4.9998,4.9998,4.9998,4.9998,4.9998,4.9998
time_normalized,std,1.4433804830956596,1.4433804830956596,1.4433804830956596,1.4433804830956596,1.4433804830956596,1.4433804830956596
formated_time,count,150000,150000,150000,150000,150000,150000
formated_time,mean,2023-05-03 10:18:43.499900416,2023-05-03 12:43:01.833232896,2023-05-03 14:53:52.499900416,2023-05-02 16:09:56.833233408,2023-05-04 07:24:52.833233408,2023-05-03 20:27:39.333232896
formated_time,min,2023-05-02 10:30:01,2023-05-03 12:26:50,2023-05-03 14:41:31,2023-05-02 15:53:07,2023-05-02 14:29:41,2023-05-03 20:20:00
formated_time,25%,2023-05-02 11:29:26.499950080,2023-05-03 12:28:19.499950080,2023-05-03 14:41:54.499950080,2023-05-02 15:54:34.499950080,2023-05-02 14:30:28.499950080,2023-05-03 20:22:07.499950080
formated_time,50%,2023-05-03 21:48:21.999899904,2023-05-03 12:34:26.999899904,2023-05-03 14:57:30.999899904,2023-05-02 15:59:47.499899904,2023-05-02 14:33:32.499899904,2023-05-03 20:28:52.499899904
formated_time,75%,2023-05-03 22:06:04.499849984,2023-05-03 13:06:39.499849984,2023-05-03 15:01:05.499849984,2023-05-02 16:32:00.499849984,2023-05-07 17:10:13.499849984,2023-05-03 20:31:41.499849984
formated_time,max,2023-05-03 22:10:04.999800,2023-05-03 13:07:27.999800,2023-05-03 15:03:41.999800,2023-05-02 16:40:23.999800,2023-05-07 17:11:48.999800,2023-05-03 20:34:21.999800
formated_time,std,,,,,,
